Local_Time, PrecipTot, Temp
2022-11-01 00:04:52,0.0,16.2
2022-11-01 00:09:49,0.0,16.1
2022-11-01 00:14:47,0.0,15.9
2022-11-01 00:19:57,0.0,15.7
2022-11-01 00:24:58,0.0,15.6
2022-11-01 00:29:51,0.0,15.6
2022-11-01 00:34:47,0.0,15.9
2022-11-01 00:39:45,0.0,15.4
2022-11-01 00:44:56,0.0,15.3
2022-11-01 00:49:52,0.0,15.7
2022-11-01 00:54:52,0.0,15.9
2022-11-01 00:59:48,0.0,15.5
2022-11-01 01:04:47,0.0,15.9
2022-11-01 01:09:55,0.0,16.0
2022-11-01 01:14:59,0.0,15.8
2022-11-01 01:19:51,0.0,15.8
2022-11-01 01:24:48,0.0,15.8
2022-11-01 01:29:59,0.0,15.9
2022-11-01 01:34:57,0.0,15.5
2022-11-01 01:39:55,0.0,15.1
2022-11-01 01:44:54,0.0,14.9
2022-11-01 01:49:47,0.0,14.8
2022-11-01 01:54:58,0.0,15.1
2022-11-01 01:59:52,0.0,15.1
2022-11-01 02:04:55,0.0,15.0
2022-11-01 02:09:45,0.0,15.1
2022-11-01 02:14:59,0.0,15.0
2022-11-01 02:19:58,0.0,15.0
2022-11-01 02:24:56,0.0,15.4
2022-11-01 02:29:52,0.0,14.8
2022-11-01 02:34:51,0.0,15.0
2022-11-01 02:39:58,0.0,14.8
2022-11-01 02:44:59,0.0,14.8
2022-11-01 02:49:56,0.0,14.7
2022-11-01 02:54:48,0.0,14.8
2022-11-01 02:59:47,0.0,15.1
2022-11-01 03:04:57,0.0,15.0
2022-11-01 03:09:53,0.0,14.5
2022-11-01 03:14:56,0.0,14.1
2022-11-01 03:19:50,0.0,14.2
2022-11-01 03:24:48,0.0,14.2
2022-11-01 03:29:58,0.0,14.1
2022-11-01 03:34:57,0.0,14.1
2022-11-01 03:39:50,0.0,14.2
2022-11-01 03:44:49,0.0,14.6
2022-11-01 03:49:59,0.0,14.5
2022-11-01 03:54:59,0.0,14.3
2022-11-01 03:59:57,0.0,14.5
2022-11-01 04:04:54,0.0,14.5
2022-11-01 04:09:47,0.0,13.7
2022-11-01 04:14:57,0.0,13.6
2022-11-01 04:19:53,0.0,13.6
2022-11-01 04:24:54,0.0,13.7
2022-11-01 04:29:51,0.0,13.4
2022-11-01 04:34:47,0.0,13.3
2022-11-01 04:39:59,0.0,13.3
2022-11-01 04:44:59,0.0,13.6
2022-11-01 04:49:53,0.0,13.3
2022-11-01 04:54:54,0.0,14.0
2022-11-01 04:59:45,0.0,14.9
2022-11-01 05:04:58,0.0,15.0
2022-11-01 05:09:57,0.0,14.2
2022-11-01 05:14:54,0.0,14.2
2022-11-01 05:19:49,0.0,14.1
2022-11-01 05:24:58,0.0,14.2
2022-11-01 05:29:53,0.0,14.6
2022-11-01 05:34:55,0.0,14.7
2022-11-01 05:39:49,0.0,14.2
2022-11-01 05:44:49,0.0,14.6
2022-11-01 05:49:59,0.0,14.8
2022-11-01 05:54:55,0.0,15.4
2022-11-01 05:59:54,0.0,15.3
2022-11-01 06:04:47,0.0,14.8
2022-11-01 06:09:45,0.0,14.5
2022-11-01 06:14:59,0.0,14.7
2022-11-01 06:19:54,0.0,14.5
2022-11-01 06:24:51,0.0,14.8
2022-11-01 06:29:49,0.0,14.7
2022-11-01 06:34:59,0.0,15.1
2022-11-01 06:39:56,0.0,14.6
2022-11-01 06:44:55,0.0,14.4
2022-11-01 06:49:49,0.0,14.3
2022-11-01 06:54:45,0.0,14.5
2022-11-01 06:59:58,0.0,14.6
2022-11-01 07:04:56,0.0,14.4
2022-11-01 07:09:52,0.0,14.7
